refArea,State of public parks - bad ,State of the lighting network - bad,State of the lighting network - acceptable,Observation URI,references,State of the lighting network - good,publisher,State of public parks - good,Town,Existence of public parks - exists ,State of public parks - acceptable ,dataset
http://dbpedia.org/resource/Marjeyoun_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aadchit+El-Qoussair,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aadchit El-Qoussair,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Sidon_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aadloun,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aadloun,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Sidon_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aadoussiyeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aadoussiyeh,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/North_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aafsdiq,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aafsdiq,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Aanoub,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Aanoub,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Beqaa_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Aarab+Rachaya,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Aarab Rachaya,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Beqaa_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Aata,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Aata,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Dara,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Dara,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Drafil,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Drafil,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Sidon_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Ed-Delb,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Ed-Delb,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Ed-Delbe,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Ed-Delbe,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Ej-Jdideh+Aaley,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Ej-Jdideh Aaley,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+El+Saydeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain El Saydeh,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+El-Ghouaybeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,1,Aain El-Ghouaybeh,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+El-Kharroubeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain El-Kharroubeh,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+El-Qabu,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain El-Qabu,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Keserwan_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Er-Rihane,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Er-Rihane,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Er-Roummaneh+Aaley,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Er-Roummaneh Aaley,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Es-Sindiane,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Es-Sindiane,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Et-Teffaha,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Et-Teffaha,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/MiniyehâDanniyeh_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Et-Tineh-Miniyeh,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Et-Tineh-Miniyeh,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Ez-Zeit,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Ez-Zeit,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Ez-Zeitouneh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Ez-Zeitouneh,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Fraidis,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Fraidis,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Beqaa_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Harsha,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Harsha,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Bint_Jbeil_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Ibl,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Ibl,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Hasbaya_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Jarfa,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Jarfa,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Jrain,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Jrain,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Kfaa,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Kfaa,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/ZahlÃ©_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Kfar+Zabad,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Kfar Zabad,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Ksour,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aain Ksour,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Baabda_District,1,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Mouaffaq,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Mouaffaq,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Ouzain,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Ouzain,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Nabatieh_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Qana,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Qana,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Qania,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Qania,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Hasbaya_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Qinia,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Qinia,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Matn_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Saadeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Saadeh,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Tinta,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Tinta,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Traz,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Traz,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Yaaqoub,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Yaaqoub,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Western_Beqaa_District,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Zebdeh,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain Zebdeh,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+Zhalta,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aain Zhalta,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aain+challal,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aain challal,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aainbal,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aainbal,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Bint_Jbeil_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aaita+Ej-Jabal,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aaita Ej-Jabal,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aaiyat,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aaiyat,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Keserwan_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aajaltoun,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aajaltoun,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aakkar+El-Aatiqa,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aakkar El-Aatiqa,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aaley,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aaley,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Aley_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aaley+Bsatine,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aaley Bsatine,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/ZahlÃ©_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aali+En-Nahri,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,1,Aali En-Nahri,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Zgharta_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aalma,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aalma,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Tyre_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aalma+Ech-Chaab,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aalma Ech-Chaab,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Marjeyoun_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aalman,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aalman,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aalmane+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aalmane Ech-Chouf,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aamaret+El-Baykat,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aamaret El-Baykat,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aamayer,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aamayer,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Byblos_District,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aamchit,https://impact.cib.gov.lb/home#open_data_section,1,Impact Open Data,0,Aamchit,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aammatour,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aammatour,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Western_Beqaa_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aammiq+Ech-Chouf,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aammiq Ech-Chouf,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Western_Beqaa_District,1,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aana,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aana,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aandqet,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aandqet,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/ZahlÃ©_District,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aanjar+%28Haouch+Moussa%29,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aanjar (Haouch Moussa),1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Mount_Lebanon_Governorate,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aanout,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aanout,1,1,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
http://dbpedia.org/resource/Sidon_District,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aanqoun,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aanqoun,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Akkar_Governorate,0,0,1,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aaouaainat+Aakkar,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,0,Aaouaainat Aakkar,0,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
https://dbpedia.org/page/Beqaa_Governorate,0,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/observation/Public_Spaces-Aaqabet+Rachaya,https://impact.cib.gov.lb/home#open_data_section,0,Impact Open Data,1,Aaqabet Rachaya,1,0,http://linked.aub.edu.lb/CODEC/Lebanon/Dataset/Public_spaces-Lebanon-2023
